sample_id,ticker,forecast_time,prediction,original_confidence,confidence_without_cited_evidence,confidence_drop,temporal_validity,evidence_support,faithfulness_label,counterevidence_coverage,counterevidence_detected
AAPL_2025-03-12_0900,AAPL,2025-03-12 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-12_0900,GOOGL,2025-03-12 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-12_0900,AMZN,2025-03-12 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-12_0900,META,2025-03-12 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-03-13_0900,AAPL,2025-03-13 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-13_0900,GOOGL,2025-03-13 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-13_0900,AMZN,2025-03-13 09:00,UP,0.7,0.2,0.49999999999999994,1.0,0.75,HIGH,1.0,True
META_2025-03-13_0900,META,2025-03-13 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-14_0900,AAPL,2025-03-14 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-14_0900,GOOGL,2025-03-14 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-14_0900,AMZN,2025-03-14 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
META_2025-03-14_0900,META,2025-03-14 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-17_0900,AAPL,2025-03-17 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-17_0900,GOOGL,2025-03-17 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-17_0900,AMZN,2025-03-17 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
