sample_id,news_id,ticker,forecast_time,news_time,news_text,evidence_text,polarity,expected_direction,evidence_role,support_score,is_cited,is_temporally_valid
DSH-HIGH,N100,AAPL,2025-03-12 09:00,2025-03-11 08:00,strong sales,strong sales,positive,UP,pro_evidence,1.0,True,True
DSH-HIGH,N101,AAPL,2025-03-12 09:00,2025-03-11 09:00,raised guidance,raised guidance,positive,UP,pro_evidence,1.0,True,True
DSH-HIGH,N102,AAPL,2025-03-12 09:00,2025-03-11 10:00,analyst upgrade,analyst upgrade,positive,UP,pro_evidence,1.0,True,True
DSH-HIGH,N100,AAPL,2025-03-12 09:00,2025-03-11 08:00,strong sales,strong sales,positive,UP,up_evidence,1.0,False,True
DSH-HIGH,N101,AAPL,2025-03-12 09:00,2025-03-11 09:00,raised guidance,raised guidance,positive,UP,up_evidence,1.0,False,True
DSH-HIGH,N102,AAPL,2025-03-12 09:00,2025-03-11 10:00,analyst upgrade,analyst upgrade,positive,UP,up_evidence,1.0,False,True
DSH-LOW,N110,META,2025-03-13 09:00,2025-03-12 08:00,no clear signal,no clear signal,neutral,HOLD,neutral_evidence,1.0,False,True
DSH-MED,N120,GOOGL,2025-03-14 09:00,2025-03-13 08:00,earnings beat,earnings beat,positive,UP,pro_evidence,1.0,True,True
DSH-MED,N121,GOOGL,2025-03-14 09:00,2025-03-13 09:00,guidance raise,guidance raise,positive,UP,pro_evidence,1.0,True,True
DSH-MED,N120,GOOGL,2025-03-14 09:00,2025-03-13 08:00,earnings beat,earnings beat,positive,UP,up_evidence,1.0,False,True
DSH-MED,N121,GOOGL,2025-03-14 09:00,2025-03-13 09:00,guidance raise,guidance raise,positive,UP,up_evidence,1.0,False,True
